local-1790212504	main	test-cockpit-ready.sh	0	7	0	0	parallel
local-1790212504	main	test-cockpit-remote.sh	0	5	0	0	parallel
local-1790212504	main	test-cockpit-queue.sh	0	13	0	0	parallel
local-1790212504	main	test-certify.sh	0	82	0	0	parallel
local-1790212504	main	test-cockpit-runtime-path.sh	0	2	0	0	parallel
local-1790212504	main	test-cockpit-snap-absent.sh	0	1	0	0	parallel
local-1790212504	main	test-cockpit-self.sh	0	4	0	0	parallel
local-1790212504	main	test-cockpit-repo-labels.sh	0	12	0	0	parallel
local-1790212504	main	test-check5-nopayload.sh	0	53	0	0	parallel
local-1790212504	main	test-cockpit-sop.sh	0	4	0	0	parallel
local-1790212504	main	test-cockpit-sweep.sh	0	4	0	0	parallel
local-1790212504	main	test-cockpit-rebuild.sh	0	18	0	0	parallel
local-1790212504	main	test-cockpit-sphere.sh	0	8	0	0	parallel
local-1790212504	main	test-cockpit-unit-notify.sh	0	1	0	0	parallel
local-1790212504	main	test-cockpit-unclaimable.sh	0	3	0	0	parallel
local-1790212504	main	test-cockpit-tmp.sh	0	14	0	0	parallel
local-1790212504	main	test-containment.sh	0	4	0	0	parallel
local-1790212504	main	test-conf.sh	0	2	0	0	parallel
local-1790212504	main	test-cockpit.sh	0	6	0	0	parallel
local-1790212504	main	test-configure.sh	0	4	0	0	parallel
local-1790212504	main	test-cockpit-watcher-owner.sh	0	6	0	0	parallel
local-1790212504	main	test-cockpit-unadopted-queue.sh	0	10	0	0	parallel
local-1790212504	main	test-concierge.sh	0	7	0	0	parallel
local-1790212504	main	test-cockpit-tiered-collector.sh	0	18	0	0	parallel
local-1790212504	main	test-czar-partition.sh	0	1	0	0	parallel
local-1790212504	main	test-covers-entries.sh	0	4	0	0	parallel
local-1790212504	main	test-delivers-parity.sh	0	2	0	0	parallel
local-1790212504	main	test-ctx-pointer.sh	0	3	0	0	parallel
local-1790212504	main	test-czar-shadow.sh	0	2	0	0	parallel
local-1790212504	main	test-content-landed-empty-branch.sh	0	12	0	0	parallel
local-1790212504	main	test-destroy-branch.sh	0	2	0	0	parallel
local-1790212504	main	test-destructive-bead.sh	0	4	0	0	parallel
local-1790212504	main	test-cockpit-unlanded.sh	0	20	0	0	parallel
local-1790212504	main	test-cross-repo.sh	0	11	0	0	parallel
local-1790212504	main	test-doctor-bd-tag.sh	0	6	0	0	parallel
local-1790212504	main	test-attribution.sh	0	151	0	0	parallel
local-1790212504	main	test-doctor-checkout-mode.sh	0	8	0	0	parallel
local-1790212504	main	test-czar-pass.sh	0	15	0	0	parallel
local-1790212504	main	test-doctor-embedded.sh	0	6	0	0	parallel
local-1790212504	main	test-dependents.sh	0	15	0	0	parallel
local-1790212504	main	test-doctor-dolt.sh	0	9	0	0	parallel
local-1790212504	main	test-deploy.sh	0	17	0	0	parallel
local-1790212504	main	test-doctor-events-probe.sh	0	7	0	0	parallel
local-1790212504	main	test-doctor-cargo.sh	0	15	0	0	parallel
local-1790212504	main	test-doctor-gh-intake-skip.sh	0	5	0	0	parallel
local-1790212504	main	test-doctor-hooks-path.sh	0	5	0	0	parallel
local-1790212504	main	test-doctor-installing.sh	0	5	0	0	parallel
local-1790212504	main	test-doctor-missing-store.sh	0	4	0	0	parallel
local-1790212504	main	test-doctor-goal.sh	0	7	0	0	parallel
local-1790212504	main	test-census-events.sh	0	134	0	0	parallel
local-1790212504	main	test-doctor-enable-drift.sh	0	13	0	0	parallel
local-1790212504	main	test-content-landed-no-reopen.sh	0	28	0	0	parallel
local-1790212504	main	test-doctor-schema.sh	0	6	0	0	parallel
local-1790212504	main	test-drain-banner.sh	0	3	0	0	parallel
local-1790212504	main	test-doctor-snap-fresh.sh	0	7	0	0	parallel
local-1790212504	main	test-dummy.sh	0	2	0	0	parallel
local-1790212504	main	test-effective-lanes.sh	0	2	0	0	parallel
local-1790212504	main	test-drain-expiry.sh	0	5	0	0	parallel
local-1790212504	main	test-elastic-ceiling.sh	0	3	0	0	parallel
local-1790212504	main	test-ctrl.sh	0	35	0	0	parallel
local-1790212504	main	test-doctor-unit-install.sh	0	11	0	0	parallel
local-1790212504	main	test-fayth-free.sh	0	3	0	0	parallel
local-1790212504	main	test-fayth-predicates.sh	0	2	0	0	parallel
local-1790212504	main	test-fayth.sh	0	3	0	0	parallel
local-1790212504	main	test-doctor-unit-dup.sh	0	16	0	0	parallel
local-1790212504	main	test-cockpit-unsent.sh	0	51	0	0	parallel
local-1790212504	main	test-fayth-project-instructions.sh	0	5	0	0	parallel
local-1790212504	main	test-forge-check-status.sh	0	5	0	0	parallel
local-1790212504	main	test-focus-close-guard.sh	0	7	0	0	parallel
local-1790212504	main	test-event.sh	0	12	0	0	parallel
local-1790212504	main	test-forge-run-metadata.sh	0	7	0	0	parallel
local-1790212504	main	test-freshclone.sh	0	7	0	0	parallel
